name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BM_tc_3r16s1o_T1_C1",70,1.20013e+07,1.1991e+07,ns,,,,,
"BM_tc_3r16s1o_T1_C1",70,1.33005e+07,1.32906e+07,ns,,,,,
"BM_tc_3r16s1o_T1_C1",70,1.33111e+07,1.32967e+07,ns,,,,,
"BM_tc_3r16s1o_T1_C1",70,1.33044e+07,1.32935e+07,ns,,,,,
"BM_tc_3r16s1o_T1_C1",70,1.27619e+07,1.27492e+07,ns,,,,,
"BM_tc_3r16s1o_T1_C1_mean",10,1.14949e+07,1.14845e+07,ns,,,,,
"BM_tc_3r16s1o_T1_C1_median",10,1.10498e+07,1.10392e+07,ns,,,,,
"BM_tc_3r16s1o_T1_C1_stddev",10,1.56633e+06,1.56502e+06,ns,,,,,
"BM_tc_3r16s1o_T1_C1_cv",10,0.136263,0.136273,,,,,,
"BM_tc_3r32s1o_T1_C1",2,3.14053e+08,3.1385e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1",2,3.15037e+08,3.1473e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1",2,3.1459e+08,3.14351e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1",2,3.14211e+08,3.13949e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1",2,3.16375e+08,3.16012e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1",2,3.23203e+08,3.22906e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1",2,4.23894e+08,4.23582e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1",2,4.24242e+08,4.23793e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1",2,4.23753e+08,4.23398e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1",2,4.38117e+08,4.37628e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1_mean",10,3.60747e+08,3.6042e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1_median",10,3.19789e+08,3.19459e+08,ns,,,,,
"BM_tc_3r32s1o_T1_C1_stddev",10,5.76573e+07,5.75911e+07,ns,,,,,
"BM_tc_3r32s1o_T1_C1_cv",10,0.159827,0.159789,,,,,,
"BM_tc_3r2s2o_T1_C1",1593456,354.53,354.278,ns,,,,,
"BM_tc_3r2s2o_T1_C1",1593456,331.821,331.582,ns,,,,,
"BM_tc_3r2s2o_T1_C1",1593456,333.426,333.054,ns,,,,,
"BM_tc_3r2s2o_T1_C1",1593456,332.22,331.98,ns,,,,,
"BM_tc_3r2s2o_T1_C1",1593456,332.25,331.992,ns,,,,,
"BM_tc_3r2s2o_T1_C1",1593456,333.577,333.155,ns,,,,,
"BM_tc_3r2s2o_T1_C1",1593456,334.648,334.356,ns,,,,,
"BM_tc_3r2s2o_T1_C1",1593456,332.018,331.76,ns,,,,,
"BM_tc_3r2s2o_T1_C1",1593456,428.951,428.611,ns,,,,,
"BM_tc_3r2s2o_T1_C1",1593456,440.099,439.677,ns,,,,,
"BM_tc_3r2s2o_T1_C1_mean",10,355.354,355.044,ns,,,,,
"BM_tc_3r2s2o_T1_C1_median",10,333.501,333.104,ns,,,,,
"BM_tc_3r2s2o_T1_C1_stddev",10,42.3609,42.3242,ns,,,,,
"BM_tc_3r2s2o_T1_C1_cv",10,0.119208,0.119208,,,,,,
"BM_tc_3r4s2o_T1_C1",194299,3599.63,3597.18,ns,,,,,
"BM_tc_3r4s2o_T1_C1",194299,3600.55,3596.82,ns,,,,,
"BM_tc_3r4s2o_T1_C1",194299,3594.53,3592.11,ns,,,,,
"BM_tc_3r4s2o_T1_C1",194299,3071.01,3068.79,ns,,,,,
"BM_tc_3r4s2o_T1_C1",194299,2700.29,2697.51,ns,,,,,
"BM_tc_3r4s2o_T1_C1",194299,2706.43,2704.38,ns,,,,,
"BM_tc_3r4s2o_T1_C1",194299,2709.24,2707.33,ns,,,,,
"BM_tc_3r4s2o_T1_C1",194299,2710.6,2708.57,ns,,,,,
"BM_tc_3r4s2o_T1_C1",194299,2709.22,2706.31,ns,,,,,
"BM_tc_3r4s2o_T1_C1",194299,2715.04,2712.55,ns,,,,,
"BM_tc_3r4s2o_T1_C1_mean",10,3011.66,3009.16,ns,,,,,
"BM_tc_3r4s2o_T1_C1_median",10,2712.82,2710.56,ns,,,,,
"BM_tc_3r4s2o_T1_C1_stddev",10,419.978,419.744,ns,,,,,
"BM_tc_3r4s2o_T1_C1_cv",10,0.139451,0.139489,,,,,,
"BM_tc_3r8s2o_T1_C1",19039,43605.8,43574.2,ns,,,,,
"BM_tc_3r8s2o_T1_C1",19039,48852.9,48808.8,ns,,,,,
"BM_tc_3r8s2o_T1_C1",19039,48860,48811.8,ns,,,,,
"BM_tc_3r8s2o_T1_C1",19039,48882,48840.8,ns,,,,,
"BM_tc_3r8s2o_T1_C1",19039,47275,47242.4,ns,,,,,
"BM_tc_3r8s2o_T1_C1",19039,36402.7,36371.5,ns,,,,,
"BM_tc_3r8s2o_T1_C1",19039,36595.8,36567.9,ns,,,,,
"BM_tc_3r8s2o_T1_C1",19039,36595,36568.6,ns,,,,,
"BM_tc_3r8s2o_T1_C1",19039,36660.4,36625.4,ns,,,,,
"BM_tc_3r8s2o_T1_C1",19039,36809.7,36775,ns,,,,,
"BM_tc_3r8s2o_T1_C1_mean",10,42053.9,42018.6,ns,,,,,
"BM_tc_3r8s2o_T1_C1_median",10,40207.8,40174.6,ns,,,,,
"BM_tc_3r8s2o_T1_C1_stddev",10,5934.44,5929.11,ns,,,,,
"BM_tc_3r8s2o_T1_C1_cv",10,0.141115,0.141107,,,,,,
"BM_tc_3r16s2o_T1_C1",1160,655188,654685,ns,,,,,
"BM_tc_3r16s2o_T1_C1",1160,808664,808007,ns,,,,,
"BM_tc_3r16s2o_T1_C1",1160,807579,806992,ns,,,,,
"BM_tc_3r16s2o_T1_C1",1160,808190,807399,ns,,,,,
"BM_tc_3r16s2o_T1_C1",1160,807513,806868,ns,,,,,
"BM_tc_3r16s2o_T1_C1",1160,630961,630302,ns,,,,,
"BM_tc_3r16s2o_T1_C1",1160,600583,600216,ns,,,,,
"BM_tc_3r16s2o_T1_C1",1160,601446,601080,ns,,,,,
"BM_tc_3r16s2o_T1_C1",1160,603441,602860,ns,,,,,
"BM_tc_3r16s2o_T1_C1",1160,605365,604882,ns,,,,,
"BM_tc_3r16s2o_T1_C1_mean",10,692893,692329,ns,,,,,
"BM_tc_3r16s2o_T1_C1_median",10,643075,642493,ns,,,,,
"BM_tc_3r16s2o_T1_C1_stddev",10,100438,100342,ns,,,,,
"BM_tc_3r16s2o_T1_C1_cv",10,0.144955,0.144934,,,,,,
"BM_tc_3r32s2o_T1_C1",74,9.64482e+06,9.63435e+06,ns,,,,,
"BM_tc_3r32s2o_T1_C1",74,1.26307e+07,1.26202e+07,ns,,,,,
"BM_tc_3r32s2o_T1_C1",74,1.26288e+07,1.26186e+07,ns,,,,,
"BM_tc_3r32s2o_T1_C1",74,1.26416e+07,1.26278e+07,ns,,,,,
"BM_tc_3r32s2o_T1_C1",74,1.26461e+07,1.26317e+07,ns,,,,,
"BM_tc_3r32s2o_T1_C1",74,1.06144e+07,1.0604e+07,ns,,,,,
"BM_tc_3r32s2o_T1_C1",74,9.48398e+06,9.4762e+06,ns,,,,,
"BM_tc_3r32s2o_T1_C1",74,9.50341e+06,9.49464e+06,ns,,,,,
"BM_tc_3r32s2o_T1_C1",74,9.52768e+06,9.51628e+06,ns,,,,,
"BM_tc_3r32s2o_T1_C1",74,9.55812e+06,9.54871e+06,ns,,,,,
"BM_tc_3r32s2o_T1_C1_mean",10,1.0888e+07,1.08772e+07,ns,,,,,
"BM_tc_3r32s2o_T1_C1_median",10,1.01296e+07,1.01192e+07,ns,,,,,
"BM_tc_3r32s2o_T1_C1_stddev",10,1.54061e+06,1.53926e+06,ns,,,,,
"BM_tc_3r32s2o_T1_C1_cv",10,0.141496,0.141512,,,,,,
"BM_tc_4r2s1o_T1_C1",223530,3365.63,3362.14,ns,,,,,
"BM_tc_4r2s1o_T1_C1",223530,4334.57,4331.66,ns,,,,,
